"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Maxwell Road","RETAIL","AIBI","30 MAXWELL ROAD #01-00 SINGAPORE 069114"
"In-Mall & Building","Plaza Singapura","RETAIL","AIBI","68 ORCHARD ROAD #03-06 SINGAPORE 238839"
"In-Mall & Building","IMM Building","RETAIL","AIBI","2 JURONG EAST ST 21 #02-43 SINGAPORE 609601"
"Street","Arab Street","RETAIL","AIK BEE TEXTILE CO","69/73 ARAB STREET SINGAPORE 199766"
"Street","Joo Chiat Road","RETAIL","AIK BROTHERS TRADING ","306/307/308 JOO CHIAT ROAD SINGAPORE 427557"
"In-Mall & Building","Bugis Junction","RESTAURANT","AJISEN","200 VICTORIA STREET #01-01 SINGAPORE 188021"
"In-Mall & Building","Junction 8","RESTAURANT","AJISEN","9 BISHAN PLACE #B1-19 SINGAPORE 579837"
"In-Mall & Building","IMM Building","RESTAURANT","AJISEN","2 JURONG EAST STREET 21 #01-88 SINGAPORE 609601"
"In-Mall & Building","Lot One","RESTAURANT","AJISEN","21 CHOA CHU KANG AVENUE 4 #04-11/12 SINGAPORE 689812"
"In-Mall & Building","Tampines Mall","RESTAURANT","AJISEN RAMEN ","4 TAMPINES CENTRAL 5 #04-19/20 SINGAPORE 529510"
"In-Mall & Building","The Star Vista","RESTAURANT","AJISEN TANJIRO ","1 VISTA EXCHANGE GREEN #B1-08 SINGAPORE 138617"
"In-Mall & Building","Bedok Mall","RESTAURANT","AJISEN TANJIRO ","311 NEW UPPER CHANGI ROAD #01-69 SINGAPORE 467360"
"Street","Gemmill Lane","RESTAURANT","AJOOMMA KOREAN CHARCOAL BBQ ","2/4 GEMMILL LANE SINGAPORE 069247"
"In-Mall & Building","Plaza Singapura","RETAIL","AKEMIUCHI","68 ORCHARD ROAD #05-08/09 SINGAPORE 238839"
"In-Mall & Building","NEX","RETAIL","AKEMIUCHI","23 SERANGOON CENTRAL #02-55 SINGAPORE 556083"
"In-Mall & Building","Plaza Singapura","RESTAURANT","AKI SUSHI AND GRILL","68 ORCHARD ROAD #B2-40 SINGAPORE 238839"
"Street","East Coast Road","RESTAURANT","AL FORNO","400 EAST COAST ROAD SINGAPORE 428996"
"Street","Arab Street","RETAIL","AL REHMAT TRADING ","45 ARAB STREET SINGAPORE 199743"
"Street","Arab Street","RETAIL","ALADDIN'S EXCLUSIVE ","110 ARAB STREET SINGAPORE 199806"
"Street","Amoy Street","RESTAURANT","ALATI","73 AMOY STREET SINGAPORE 069892"
"Street","Bussorah Street","RESTAURANT","ALATURKA TURKISH","15 BUSSORAH STREET SINGAPORE 199436"
"In-Mall & Building","Hong Leong Building","RESTAURANT","ALCHEMIST","16 RAFFLES QUAY #01-08 SINGAPORE 048581"
"In-Mall & Building","Ocean Financial Centre","RESTAURANT","ALCHEMIST","10 COLLYER QUAY #01-K1 SINGAPORE 049315"
"In-Mall & Building","Bugis Junction","RETAIL","ALCOHOLIDAY","200 VICTORIA STREET #03-10D SINGAPORE 188021"
"In-Mall & Building","Bugis Junction","RETAIL","ALDO ","200 VICTORIA STREET #01-39/40 SINGAPORE 188021"
