"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"In-Mall & Building","Tampines Mall","RETAIL","KIEHL'S ","4 TAMPINES CENTRAL 5 #01-29 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","KIEHL'S ","23 SERANGOON CENTRAL #01-76 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","KIEHL'S ","3 GATEWAY DRIVE #01-34 SINGAPORE 608532"
"In-Mall & Building","Northpoint City","RETAIL","KIEHL'S ","1 NORTHPOINT DRIVE #01-140A SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RETAIL","KIEHL'S ","83 PUNGGOL CENTRAL #01-56 SINGAPORE 828761"
"In-Mall & Building","Plaza Singapura","RESTAURANT","KILLINEY","68 ORCHARD ROAD #B2-35/36 SINGAPORE 238839"
"In-Mall & Building","NEX","RETAIL","KIM ABLE HOUSEHOLD ","23 SERANGOON CENTRAL #B2-54 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RETAIL","KIM ABLE HOUSEHOLD ","1 NORTHPOINT DRIVE #B1-106 SINGAPORE 768019"
"Street","Joo Chiat Place","RESTAURANT","KIM CHOO KUEH CHANG ","60 JOO CHIAT PLACE SINGAPORE 427784"
"Street","East Coast Road","RESTAURANT","KIM CHOO KUEH CHANG ","109 EAST COAST ROAD SINGAPORE 428800"
"In-Mall & Building","NEX","RETAIL","KIM HING FOOD ","23 SERANGOON CENTRAL #03-39 SINGAPORE 556083"
"In-Mall & Building","Lot One","RETAIL","KIMAGE SALON","21 CHOA CHU KANG AVENUE 4 #02-21F SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RETAIL","KIMAGE SALON","930 YISHUN AVENUE 2 #03-39/40 SINGAPORE 769098"
"In-Mall & Building","Bugis+","RESTAURANT","KIMCHI MAMA","201 VICTORIA STREET #04-11 SINGAPORE 188067"
"In-Mall & Building","Bugis+","RETAIL","KIMOJ","201 VICTORIA STREET #02-64/65/66 SINGAPORE 188067"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","KIMOJ ","10 PAYA LEBAR ROAD #01-35 SINGAPORE 409057"
"In-Mall & Building","Westgate","RETAIL","KIMOJ ","3 GATEWAY DRIVE #02-34 SINGAPORE 608532"
"In-Mall & Building","Westgate","RESTAURANT","KIND KONES","3 GATEWAY DRIVE #01-09A SINGAPORE 608532"
"Street","Joo Chiat Road","RESTAURANT","KINGS CART COFFEE","328 JOO CHIAT ROAD #01-05 SINGAPORE 427585"
"Street","Joo Chiat Road","RESTAURANT","KINNARI THAI CUISINE","201 JOO CHIAT ROAD #01-01 SINGAPORE 427472"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","KINOHIMITSU","10 PAYA LEBAR ROAD #B1-K1 SINGAPORE 409057"
"In-Mall & Building","Tampines Mall","RETAIL","KINOHIMITSU","4 TAMPINES CENTRAL 5 #02-00 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RETAIL","KINOHIMITSU","930 YISHUN AVENUE 2 #01-111 SINGAPORE 769098"
"In-Mall & Building","IMM Building","RETAIL","KIPLING","2 JURONG EAST 21 #01-01 SINGAPORE 609601"
"In-Mall & Building","Tanjong Pagar Plaza","RETAIL","KIRAY AESTHETICS ","7 TANJONG PAGAR PLAZA #02-111 SINGAPORE 081007"
"In-Mall & Building","Northpoint City","RETAIL","KITCHEN WARE","1 NORTHPOINT DRIVE #B1-132/133 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RETAIL","KITCHEN WARE","83 PUNGGOL CENTRAL #B1-03 SINGAPORE 828761"
"In-Mall & Building","West Mall","RETAIL","KITTY MOBILE","1 BUKIT BATOK CENTRAL LINK #03-13 SINGAPORE 658713"
"In-Mall & Building","Guoco Tower","RESTAURANT","KIWAMI","7 WALLICH STREET #B2-10 SINGAPORE 078884"
"In-Mall & Building","NEX","RETAIL","KIYO","23 SERANGOON CENTRAL #B1-20 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RETAIL","KIYO","930 YISHUN AVENUE 2 #02-20 SINGAPORE 769098"
"In-Mall & Building","Plaza Singapura","RETAIL","KJ OPTOMETRISTS","68 ORCHARD ROAD #04-52 SINGAPORE 238839"
"Street","Keong Saik Road","RETAIL","KJSTUDIO","43A KEONG SAIK ROAD SINGAPORE 089147"
"Street","East Coast Road","RETAIL","KJSTUDIO","142A EAST COAST ROAD SINGAPORE 428832"
"Street","Haji Lane","RETAIL","KKAHLEEINOE APPAREL","2 HAJI LANE #02-01 SINGAPORE 189195"
"Street","Haji Lane","RETAIL","KNOCKOUT GEAR","31 HAJI LANE SINGAPORE 189224"
"Street","South Bridge Road","RESTAURANT","KOBASHI","79 SOUTH BRIDGE ROAD SINGAPORE 058703"
"In-Mall & Building","Lot One","RETAIL","KODAK EXPRESS","21 CHOA CHU KANG AVENUE 4 #B1-21 SINGAPORE 689812"
"Street","Joo Chiat Road","RESTAURANT","KOHI ROASTERY","432 JOO CHIAT ROAD SINGAPORE 427647"
"In-Mall & Building","One Raffles Place","RESTAURANT","KOI","1 RAFFLES PLACE #B1-09 SINGAPORE 048616"
"In-Mall & Building","Bugis+","RESTAURANT","KOI","201 VICTORIA STREET #01-01 SINGAPORE 188067"
"In-Mall & Building","Plaza Singapura","RESTAURANT","KOI","68 ORCHARD ROAD #B2-11 SINGAPORE 238839"
"In-Mall & Building","Holland Xchange","RESTAURANT","KOI","200 HOLLAND AVENUE #B1-06 SINGAPORE 278995"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","KOI","11 BIDADARI PARK DRIVE #B1-K53 SINGAPORE 367803"
"Street","Paya Lebar Mrt Station","RESTAURANT","KOI","30 PAYA LEBAR ROAD #01-04 SINGAPORE 409006"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","KOI","10 PAYA LEBAR ROAD #B1-02 SINGAPORE 409057"
"In-Mall & Building","Parkway Parade","RESTAURANT","KOI","80 MARINE PARADE ROAD #01-K32 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RESTAURANT","KOI","311 NEW UPPER CHANGI ROAD #01-97 SINGAPORE 467360"
"In-Mall & Building","Tampines Mall","RESTAURANT","KOI","4 TAMPINES CENTRAL 5 #02-K3B SINGAPORE 529510"
"In-Mall & Building","Tampines Mrt Station","RESTAURANT","KOI","20 TAMPINES CENTRAL 1 #01-14 SINGAPORE 529538"
"In-Mall & Building","NEX","RESTAURANT","KOI","23 SERANGOON CENTRAL #B1-07 SINGAPORE 556083"
"In-Mall & Building","Myvillage - Serangoon","RESTAURANT","KOI","1 MAJU AVENUE #01-07 SINGAPORE 556679"
"In-Mall & Building","Junction 8","RESTAURANT","KOI","9 BISHAN PLACE #02-26 SINGAPORE 579837"
"In-Mall & Building","Westgate","RESTAURANT","KOI","3 GATEWAY DRIVE #B1-27 SINGAPORE 608532"
"In-Mall & Building","IMM Building","RESTAURANT","KOI","2 JURONG EAST STREET 21 #01-58 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","KOI","1 NORTHPOINT DRIVE #B2-157 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","KOI","83 PUNGGOL CENTRAL #B1-K2 SINGAPORE 828761"
"Street","Seng Poh Road","RETAIL","KOINONIA SALON","71 SENG POH ROAD #01-47 SINGAPORE 160071"
"Street","Keong Saik Road","RESTAURANT","KOK SEN RESTAURANT","4 KEONG SAIK ROAD SINGAPORE 089110"
"Street","Tras Street","RESTAURANT","KOKO CAFE & PATISSERIE","43 #01-01 SINGAPORE 078982"
"In-Mall & Building","Plaza Singapura","RETAIL","KOMEHYO","68 ORCHARD ROAD #02-23 SINGAPORE 238869"
"In-Mall & Building","West Mall","RETAIL","KOMME","1 BUKIT BATOK CENTRAL LINK #02-23 SINGAPORE 658713"
"Street","East Coast Park","RESTAURANT","KOMMUNITY PTE. LTD.","1000 EAST COAST PARKWAY #01-03 SINGAPORE 449876"
"Street","Bussorah Street","RESTAURANT","KONDITORI","33 BUSSORAH STREET SINGAPORE 199451"
"In-Mall & Building","NEX","RESTAURANT","KOO KEE","23 SERANGOON CENTRAL #B1-46 SINGAPORE 556083"
"In-Mall & Building","West Mall","RESTAURANT","KOPI & TARTS","1 BUKIT BATOK CENTRAL LINK #B1-K12 SINGAPORE 658713"
"In-Mall & Building","Northpoint City","RESTAURANT","KOPI & TARTS","1 NORTHPOINT DRIVE #01-151 SINGAPORE 768019"
"In-Mall & Building","Marina Bay Financial Centre","RESTAURANT","KOPI ONG","12 MARINA BOULEVARD #01-04 SINGAPORE 018982"
"In-Mall & Building","One Raffles Quay","RESTAURANT","KOPI ONG","1 RAFFLES QUAY #B2-01 SINGAPORE 048583"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","KOTT-DON 360","10 PAYA LEBAR ROAD #04-09 SINGAPORE 409057"
"In-Mall & Building","Bugis Junction","RESTAURANT","KRISPY KREME","200 VICTORIA STREET #B1-03B SINGAPORE 188021"
"In-Mall & Building","NEX","RESTAURANT","KRISPY KREME","23 SERANGOON CENTRAL #03-K13 SINGAPORE 556083"
"In-Mall & Building","IMM Building","RESTAURANT","KRISPY KREME","2 JURONG EAST STREET 21 #01-K06 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","KRISPY KREME","1 NORTHPOINT DRIVE #01-133A SINGAPORE 768019"
"Street","Amoy Street","RESTAURANT","KULTO","87 AMOY STREET SINGAPORE 069906"
"In-Mall & Building","Guoco Tower","RESTAURANT","KURIYA JAPANESE MARKET","7 WALLICH STREET #B1-06 SINGAPORE 078884"
"In-Mall & Building","NEX","RESTAURANT","KURIYA JAPANESE MARKET","23 SERANGOON CENTRAL #B1-03 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RESTAURANT","KURIYA JAPANESE MARKET","1 NORTHPOINT DRIVE #B1-152 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","KURIYA JAPANESE MARKET","83 PUNGGOL CENTRAL #B1-20 SINGAPORE 828761"
"Street","Mohamed Sultan Road","RESTAURANT","KUROYA","33 MOHAMED SULTAN ROAD #01-03 SINGAPORE 238977"
"Street","Telok Ayer Street","RESTAURANT","KUZA NIKU KAPPO","153 TELOK AYER STREET SINGAPORE 068610"
"In-Mall & Building","Bugis Junction","RETAIL","KYLIE COSMETICS","200 VICTORIA STREET #01-KIO-01 SINGAPORE 188021"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","L HAIR SALON","211 HOLLAND AVENUE #03-40 SINGAPORE 278967"
"Street","Boon Tat Street","RESTAURANT","L OPERETTA CORNER BAR","7/9/11/15 BOON TAT STREET SINGAPORE 069614"
"In-Mall & Building","Bugis Junction","RETAIL","L ZZIE","200 VICTORIA STREET #02-37 SINGAPORE 188021"
"In-Mall & Building","Lot One","RETAIL","LA BARBERSHOP","21 CHOA CHU KANG AVENUE 4 #03-03 SINGAPORE 689812"
"Street","Joo Chiat Road","RESTAURANT","LA BETTOLA PIZZA & GRILL","328 JOO CHIAT ROAD #01-04 SINGAPORE 427585"
"Street","Joo Chiat Road","RESTAURANT","LA BOTTEGA ENOTECA","346 JOO CHIAT ROAD SINGAPORE 427596"
"Street","Keong Saik Road","RESTAURANT","LA CABANE","12 KEONG SAIK ROAD #01-01 SINGAPORE 089119"
"In-Mall & Building","Duo","RETAIL","LA CARA ESTETICA PTE. LTD.","7 FRASER STREET #01-05 SINGAPORE 189356"
"In-Mall & Building","Guoco Tower","RESTAURANT","LA MENSA","7 WALLICH STREET #B2-15 SINGAPORE 078884"
"In-Mall & Building","Katong V","RETAIL","LA PEAU ","30 EAST COAST ROAD #02-20 SINGAPORE 428751"
"Street","East Coast Road","RESTAURANT","LA SAIGON EAST COAST","914 EAST COAST ROAD #01-04 SINGAPORE 459108"
"Street","Joo Chiat Road","RETAIL","LA TIENDA","370 JOO CHIAT ROAD #01-01 SINGAPORE 427615"
"In-Mall & Building","Bedok Mall","RETAIL","LA VIDA","311 NEW UPPER CHANGI ROAD #01-27 SINGAPORE 467360"
"In-Mall & Building","Raffles Xchange","RETAIL","LAC NUTRITION FOR LIFE","5 RAFFLES PLACE #B1-47/48 SINGAPORE 048618"
"In-Mall & Building","Republic Plaza","RETAIL","LAC NUTRITION FOR LIFE","9 RAFFLES PLACE #01-11 SINGAPORE 048619"
"In-Mall & Building","Bugis Junction","RETAIL","LAC NUTRITION FOR LIFE","230 VICTORIA STREET #B1-16 SINGAPORE 180024"
"In-Mall & Building","Plaza Singapura","RETAIL","LAC NUTRITION FOR LIFE","68 ORCHARD ROAD #B2-05 SINGAPORE 238859"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","LAC NUTRITION FOR LIFE","211 HOLLAND AVENUE #02-04 SINGAPORE 278967"
"In-Mall & Building","The Woodleigh Mall","RETAIL","LAC NUTRITION FOR LIFE","11 BIDADARI PARK DRIVE #B1-35 SINGAPORE 367803"
"In-Mall & Building","Parkway Parade","RETAIL","LAC NUTRITION FOR LIFE","80 MARINE PARADE ROAD #B1-K1 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RETAIL","LAC NUTRITION FOR LIFE","311 NEW UPPER CHANGI ROAD #B2-53 SINGAPORE 467360"
"In-Mall & Building","Tampines Mall","RETAIL","LAC NUTRITION FOR LIFE","4 TAMPINES CENTRAL 5 #B1-06 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","LAC NUTRITION FOR LIFE","23 SERANGOON CENTRAL #03-40 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","LAC NUTRITION FOR LIFE","9 BISHAN PLACE #B1-17 SINGAPORE 579837"
"In-Mall & Building","IMM Building","RETAIL","LAC NUTRITION FOR LIFE","2 JURONG EAST STREET 21 #01-52 SINGAPORE 609601"
"In-Mall & Building","West Mall","RETAIL","LAC NUTRITION FOR LIFE","1 BUKIT BATOK CENTRAL LINK #B1-08 SINGAPORE 658713"
"In-Mall & Building","Lot One","RETAIL","LAC NUTRITION FOR LIFE","21 CHOA CHU KANG AVENUE 4 #B1-24 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RETAIL","LAC NUTRITION FOR LIFE","930 YISHUN AVENUE 2 #B1-20/21 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RETAIL","LAC NUTRITION FOR LIFE","83 PUNGGOL CENTRAL #B2-29 SINGAPORE 828761"
"In-Mall & Building","Tanjong Pagar Plaza","RESTAURANT","LAD & DAD","7 TANJONG PAGAR PLAZA #01-108 SINGAPORE 081007"
"In-Mall & Building","Westgate","RETAIL","LADERACH CHOCOLATIER SUISSE","3 GATEWAY DRIVE #01-10 SINGAPORE 608532"
"Street","Bugis Street","RETAIL","LA'MAE BONTIQUE","3 NEW BUGIS STREET SINGAPORE 188867"
"In-Mall & Building","Bugis+","RETAIL","LAMY","201 VICTORIA STREET #02-55 SINGAPORE 188067"
"Street","Greenwood Avenue","RETAIL","LANA CAKE SHOP","36 GREENWOOD AVENUE SINGAPORE 289239"
"In-Mall & Building","Bugis Junction","RETAIL","LANEIGE","200 VICTORIA STREET #01-111 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","LANEIGE","23 SERANGOON CENTRAL #01-79 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","LANEIGE","9 BISHAN PLACE #01-01/02 SINGAPORE 579837"
"In-Mall & Building","Westgate","RETAIL","LANEIGE","3 GATEWAY DRIVE #02-40 SINGAPORE 608532"
"In-Mall & Building","Punggol Waterway Point","RETAIL","LANEIGE","83 PUNGGOL CENTRAL #01-54 SINGAPORE 828761"
"In-Mall & Building","Tampines Mall","RETAIL","LANEIGE ","4 TAMPINES CENTRAL 5 #01-31 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RETAIL","LANEIGE ","930 YISHUN AVENUE 2 #01-42 SINGAPORE 769098"
"Street","Club Street","RESTAURANT","L'ANGELUS FRENCH RESTAURANT","85 CLUB STREET SINGAPORE 069453"
"In-Mall & Building","Mercure Icon","RESTAURANT","L'ANTICA PIZZERIA DA MICHELE","8 CLUB STREET #01-08 SINGAPORE 069472"
"In-Mall & Building","The Star Vista","RESTAURANT","LAO HUO TANG","1 VISTA EXCHANGE GREEN #B1-21B SINGAPORE 138617"
"In-Mall & Building","Tampines Mall","RESTAURANT","LAO HUO TANG","4 TAMPINES CENTRAL 5 #B1-01/27 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","LAO HUO TANG","23 SERANGOON CENTRAL #03-08/09 SINGAPORE 556083"
"In-Mall & Building","IMM Building","RESTAURANT","LAO JIANG SUPERIOR SOUP","2 JURONG EAST STREET 21 #01-K09 SINGAPORE 609601"
"Street","Temple Street","RESTAURANT","LAO SICHUAN DOU HUA ZHUANG","46 TEMPLE STREET SINGAPORE 058591"
"In-Mall & Building","Bugis Cube","RETAIL","LASH PALACE","470 NORTH BRIDGE ROAD #05-21 SINGAPORE 188735"
"In-Mall & Building","Plaza Singapura","RETAIL","LASIDORE","68 ORCHARD ROAD #B1-25A SINGAPORE 238839"
"Street","South Bridge Road","RETAIL","LATE MORNING","230 SOUTH BRIDGE ROAD #01-00 SINGAPORE 058779"
"Street","Duxton Hill","RESTAURANT","LATTERIA","40 DUXTON HILL SINGAPORE 089618"
"Street","Temple Street","RETAIL","LAU CHOY SENG ","23/25 TEMPLE STREET SINGAPORE 058568"
"Street","Mohamed Sultan Road","RETAIL","LAURENT BERNARD CHOCOLATIER","80 MOHAMED SULTAN ROAD #01-11 SINGAPORE 239013"
"In-Mall & Building","Bugis Junction","RESTAURANT","LAVENDER BAKERY","200 VICTORIA STREET #B1-23 SINGAPORE 188021"
"In-Mall & Building","Northpoint City","RETAIL","LAVIDA","1 NORTHPOINT DRIVE #B1-168 SINGAPORE 768019"
"In-Mall & Building","New Bahru","RESTAURANT","LE CLOS WINEHOUSE & RESTAURANT","46 & 58 KIM YAM RD #01-18 SINGAPORE 239351"
"Street","Teck Lim Road","RESTAURANT","LE MONT","1C TECK LIM ROAD SINGAPORE 088379"
"In-Mall & Building","Change Alley","RETAIL","LE PETIT CROISSANT","16 COLLYER QUAY #01-06 SINGAPORE 049318"
"In-Mall & Building","Katong V","RESTAURANT","LE PETIT KATONG","30 EAST COAST ROAD #01-11 SINGAPORE 428751"
"In-Mall & Building","Bugis Junction","RETAIL","LE POMMIER","200 VICTORIA STREET #02-39 SINGAPORE 188021"
"In-Mall & Building","Marina Bay Link Mall","RETAIL","LE ROUGE","8A MARINA BOULEVARD #B2-54 SINGAPORE 018984"
"In-Mall & Building","Change Alley","RETAIL","LE ROUGE","16 COLLYER QUAY #01-08 SINGAPORE 049318"
"In-Mall & Building","Plaza Singapura","RESTAURANT","LE SHRIMP","68 ORCHARD ROAD #03-02 SINGAPORE 238839"
"In-Mall & Building","The Star Vista","RESTAURANT","LE SHRIMP RAMEN","1 VISTA EXCHANGE GREEN #02-24 SINGAPORE 138617"
"Street","Mohamed Sultan Road","RETAIL","LE SPA","13 MOHAMED SULTAN ROAD SINGAPORE 238962"
"In-Mall & Building","NEX","RETAIL","LE WAVE ART OF HAIR","23 SERANGOON CENTRAL #02-41/42 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","LEATHER ATRIUM","9 BISHAN PLACE #02-12 SINGAPORE 579837"
"In-Mall & Building","Chijmes","RESTAURANT","LEBUA THAI - CHIJMES","30 VICTORIA STREET #01-31 SINGAPORE 187996"
"In-Mall & Building","Tampines Mall","RESTAURANT","LEE WEE & BROTHERS","4 TAMPINES CENTRAL 5 #B1-K6 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","LEE WEE & BROTHERS","23 SERANGOON CENTRAL #03-K11 SINGAPORE 556083"
"Street","South Bridge Road","RESTAURANT","LEGENDARY BAK KUT TEH","46 SOUTH BRIDGE ROAD #01-01 SINGAPORE 058679"
"In-Mall & Building","Tampines Mall","RESTAURANT","LEGENDARY HONG KONG","4 TAMPINES CENTRAL 5 #B1-11 SINGAPORE 529510"
"In-Mall & Building","Plaza Singapura","RETAIL","LEGO CERTIFIED STORE","68 ORCHARD ROAD #03-17 SINGAPORE 238839"
"In-Mall & Building","Chijmes","RESTAURANT","LEI GARDEN RESTAURANT ","30 VICTORIA STREET #01-24 SINGAPORE 187996"
"In-Mall & Building","Plaza Singapura","RETAIL","LENSKART","68 ORCHARD ROAD #B1-12 SINGAPORE 238839"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","LENSKART","10 PAYA LEBAR ROAD #B1-30 SINGAPORE 409057"
"In-Mall & Building","Parkway Parade","RETAIL","LENSKART","80 MARINE PARADE ROAD #B1-99/100 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RETAIL","LENSKART","311 NEW UPPER CHANGI ROAD #B1-36 SINGAPORE 467360"
"In-Mall & Building","NEX","RETAIL","LENSKART","23 SERANGOON CENTRAL #01-49 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","LENSKART","9 BISHAN PLACE #02-22/23 SINGAPORE 579837"
"In-Mall & Building","Westgate","RETAIL","LENSKART","3 GATEWAY DRIVE #02-38 SINGAPORE 608532"
"In-Mall & Building","IMM Building","RETAIL","LENSKART","2 JURONG EAST STREET 21 #01-86 SINGAPORE 609601"
"In-Mall & Building","West Mall","RETAIL","LENSKART","1 BUKIT BATOK CENTRAL LINK #01-15 SINGAPORE 658713"
"In-Mall & Building","Lot One","RETAIL","LENSKART","21 CHOA CHU KANG AVENUE 4 #01-19 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RETAIL","LENSKART","1 NORTHPOINT DRIVE #01-105/106 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RETAIL","LENSKART","83 PUNGGOL CENTRAL #01-06 SINGAPORE 828761"
"In-Mall & Building","Bugis Junction","RESTAURANT","LENU","200 VICTORIA STREET #B1-22 SINGAPORE 188021"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","LENU","11 BIDADARI PARK DRIVE #01-41 SINGAPORE 367803"
"In-Mall & Building","Parkway Parade","RESTAURANT","LENU","80 MARINE PARADE ROAD #01-34 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RESTAURANT","LENU","311 NEW UPPER CHANGI ROAD #B2-32 SINGAPORE 467360"
"In-Mall & Building","Northpoint City","RESTAURANT","LENU","930 YISHUN AVENUE 2 #B1-101 SINGAPORE 769098"
"In-Mall & Building","IMM Building","RETAIL","LEONIAN SINGAPORE","2 JURONG EAST STREET 21 #01-74/75/76 SINGAPORE 609601"
"Street","Ann Siang Road","RESTAURANT","LES BOUCHONS ","7 ANN SIANG ROAD SINGAPORE 069689"
"In-Mall & Building","Bugis Junction","RETAIL","LFC BUGIS JUNCTION ","200 VICTORIA STREET #01-73/74/75/76 SINGAPORE 188021"
"Street","Smith Street","RESTAURANT","LIAO FAN HAWKER CHAN","76/78 SMITH STREET SINGAPORE 058971"
"Street","Arab Street","RETAIL","LIBERTY SILK HOUSE","83 ARAB STREET SINGAPORE 199779"
"In-Mall & Building","Marina Bay Financial Centre","RESTAURANT","LIBERTY SINGAPORE","10 MARINA BOULEVARD #01-04 SINGAPORE 018983"
"Street","Tras Street","RETAIL","LIEBHERR APPLIANCES","70 TRAS STREET SINGAPORE 079009"
"In-Mall & Building","The Star Vista","RESTAURANT","LIHO","1 VISTA EXCHANGE GREEN #B1-39 SINGAPORE 138617"
"In-Mall & Building","Bugis+","RESTAURANT","LIHO","201 VICTORIA STREET #03-29/30 SINGAPORE 188067"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","LIHO","11 BIDADARI PARK DRIVE #B1-K51/K52 SINGAPORE 367803"
"In-Mall & Building","Bedok Mall","RESTAURANT","LIHO","311 NEW UPPER CHANGI ROAD #B2-K16 SINGAPORE 467360"
"In-Mall & Building","Tampines Mall","RESTAURANT","LIHO","4 TAMPINES CENTRAL 5 #B1-K5 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","LIHO","23 SERANGOON CENTRAL #04-K22 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","LIHO","9 BISHAN PLACE #02-18A SINGAPORE 579837"
"In-Mall & Building","IMM Building","RESTAURANT","LIHO","2 JURONG EAST STREET 21 #01-K12 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","LIHO","930 YISHUN AVENUE 2 #01-17 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","LIHO","83 PUNGGOL CENTRAL #B2-K10 SINGAPORE 828761"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","LIM MENG KENG DEPT STORE","211 HOLLAND AVENUE #02-18 SINGAPORE 278967"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","LIMS LEGACY","211 HOLLAND AVENUE #02-02 SINGAPORE 278967"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","LIM'S UNIFORMS","211 HOLLAND AVENUE #02-18 SINGAPORE 278967"
"In-Mall & Building","NEX","RETAIL","LINEN GALLERY BY EPITEX ","23 SERANGOON CENTRAL #04-50 SINGAPORE 556083"
"Street","Club Street","RESTAURANT","LION BREWERY CO TAPROOM","36 CLUB STREET #01-01 SINGAPORE 069469"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","LIOU & LANS","10 PAYA LEBAR ROAD #01-32 SINGAPORE 409057"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","LIPO DEPARTMENT STORE","211 HOLLAND AVENUE #02-05 SINGAPORE 278967"
"Street","Duxton Road","RETAIL","LITTERED WITH BOOKS","20 DUXTON ROAD SINGAPORE 089486"
"Street","Eng Hoon Street","RESTAURANT","LITTLE ELEPHANT PTE. LTD.","57 ENG HOON STREET #01-72 SINGAPORE 160057"
"In-Mall & Building","One Raffles Place","RESTAURANT","LITTLE FISHER","1 RAFFLES PLACE #B1-04/05 SINGAPORE 048616"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","LITTLE ITALY","11 BIDADARI PARK DRIVE #02-48 SINGAPORE 367803"
"In-Mall & Building","IMM Building","RETAIL","LITTLE KINGDOM BY UNISPRINGS","2 JURONG EAST STREET 21 #03-23 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","LITTLE POND","1 NORTHPOINT DRIVE #B1-184/186 SINGAPORE 768019"
"Street","Mosque Street","RESTAURANT","LIUZHOUNVXU","6 MOSQUE STREET SINGAPORE 059486"
"In-Mall & Building","Parkway Parade","RETAIL","LIVE IT UP","80 MARINE PARADE ROAD #B1-83P/83Q SINGAPORE 449269"
"In-Mall & Building","Parkway Parade","RETAIL","LIVE SKIN FACE BODY & SPA","80 MARINE PARADE ROAD #05-12 SINGAPORE 449269"
"Street","Bukit Pasoh Road","RESTAURANT","LIVE TWICE","18/20 BUKIT PASOH ROAD #01-00 SINGAPORE 089832"
"In-Mall & Building","Plaza Singapura","RESTAURANT","LLAO LLAO","68 ORCHARD ROAD #B2-08 SINGAPORE 238839"
"In-Mall & Building","IMM Building","RESTAURANT","LLAO LLAO","2 JURONG EAST STREET 21 #01-14 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","LLAO LLAO","1 NORTHPOINT DRIVE #01-133 SINGAPORE 768019"
"Street","Telok Ayer Street","RESTAURANT","LLUVIA","145 TELOK AYER STREET SINGAPORE 068605"
"In-Mall & Building","Plaza Singapura","RETAIL","L'OCCITANE","68 ORCHARD ROAD #01-65 SINGAPORE 238839"
"In-Mall & Building","Tampines Mall","RETAIL","L'OCCITANE","4 TAMPINES CENTRAL 5 #01-31A SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","L'OCCITANE","23 SERANGOON CENTRAL #01-75 SINGAPORE 556083"
